product_id,SKU,product_name,category,color,material,collection,size,cost,unit_price
P0001,SKU-0001,Denim Jacket,Jackets,Sage Green,Leather,Spring 2025,S,134.99,205.63
P0002,SKU-0002,Training Hoodie,Activewear,Lavender,Canvas,Winter 2025,XL,44.94,91.67
P0003,SKU-0003,Denim Jacket,Jackets,Sage Green,Leather,Fall 2025,L,162.29,251.79
P0004,SKU-0004,Leather Satchel,Bags,Olive,Canvas,Spring 2025,One Size,170.58,289.27
P0005,SKU-0005,Leather Satchel,Bags,Olive,Cotton,Summer 2025,One Size,179.71,283.06
P0006,SKU-0006,Sports Bra,Activewear,Brown,Cotton,Fall 2025,XL,32.99,64.76
P0007,SKU-0007,Denim Jacket,Jackets,Burgundy,Leather,Spring 2025,S,205.92,360.51
P0008,SKU-0008,Card Holder,Wallets,Olive,Cotton,Winter 2025,One Size,51.98,76.87
P0009,SKU-0009,Leather Satchel,Bags,White,Canvas,Fall 2025,One Size,110.24,220.03
P0010,SKU-0010,Keychain,Accessories,Lavender,Cotton,Fall 2025,One Size,26.55,48.48
P0011,SKU-0011,Leather Jacket,Jackets,Forest Green,Cotton,Summer 2025,L,181.3,332.11
P0012,SKU-0012,Knit Scarf,Accessories,Burgundy,Leather,Spring 2026,One Size,19.62,45.12
P0013,SKU-0013,Puffer Jacket,Jackets,White,Wool,Spring 2026,XS,105.57,204.47
P0014,SKU-0014,Leather Satchel,Bags,Cream,Cotton,Spring 2025,One Size,84.65,160.43
P0015,SKU-0015,Zip Wallet,Wallets,Cream,Canvas,Spring 2025,One Size,49.76,75.36
P0016,SKU-0016,Performance Leggings,Activewear,Sage Green,Recycled Fabric,Fall 2025,XXS,44.73,75.2
P0017,SKU-0017,Leather Belt,Accessories,Olive,Recycled Fabric,Spring 2025,One Size,21.07,48.14
P0018,SKU-0018,Denim Jacket,Jackets,Olive,Cotton,Winter 2025,S,252.08,368.51
